N0,
76,
103,
91,
96,
101,
80,
98,
95,
104,
116,
84,
105,
81,
104,
93,
111,
104,
94,
101,
102,
84,
98,
110,.
94,
92,
114,
101,
76,
72,
71,
102,
100,
88,
85,
108,
106,
94,
114,
118,
91,
110,
104,
83,
88,
77,
98,
89,
88,
93,
108,
77,
94,
112,
83,
87,
85,
66,
91,
111,
